Season;date;N;N7;age;flu_pick
2014-2015;2015-01-12;98;443;Older than 64;
2014-2015;2015-01-13;274;1564;Total;
2014-2015;2015-01-13;81;496;Younger than 15;
2014-2015;2015-01-13;108;559;Between 15 and 64;
2014-2015;2015-01-13;85;509;Older than 64;
2014-2015;2015-01-14;231;1474;Total;
2014-2015;2015-01-14;65;448;Younger than 15;
2014-2015;2015-01-14;86;532;Between 15 and 64;
2014-2015;2015-01-14;80;494;Older than 64;
2014-2015;2015-01-15;239;1427;Total;
2014-2015;2015-01-15;79;433;Younger than 15;
2014-2015;2015-01-15;75;512;Between 15 and 64;
2014-2015;2015-01-15;85;482;Older than 64;
2014-2015;2015-01-16;247;1397;Total;
2014-2015;2015-01-16;85;423;Younger than 15;
2014-2015;2015-01-16;70;503;Between 15 and 64;
2014-2015;2015-01-16;92;471;Older than 64;
2014-2015;2015-01-17;36;1381;Total;
2014-2015;2015-01-17;5;415;Younger than 15;
2014-2015;2015-01-17;18;499;Between 15 and 64;
2014-2015;2015-01-17;13;467;Older than 64;
2014-2015;2015-01-18;32;1383;Total;
2014-2015;2015-01-18;10;424;Younger than 15;
2014-2015;2015-01-18;12;496;Between 15 and 64;
2014-2015;2015-01-18;10;463;Older than 64;
2014-2015;2015-01-19;283;1342;Total;
2014-2015;2015-01-19;84;409;Younger than 15;
2014-2015;2015-01-19;108;477;Between 15 and 64;
2014-2015;2015-01-19;91;456;Older than 64;
2014-2015;2015-01-20;228;1296;Total;
2014-2015;2015-01-20;69;397;Younger than 15;
2014-2015;2015-01-20;78;447;Between 15 and 64;
2014-2015;2015-01-20;81;452;Older than 64;
2014-2015;2015-01-21;274;1339;Total;
2014-2015;2015-01-21;84;416;Younger than 15;
2014-2015;2015-01-21;101;462;Between 15 and 64;
