date;N;N7;age
2016-08-15;8;46;Total
2016-08-16;7;47;Total
2016-08-17;9;46;Total
2016-08-18;10;49;Total
2016-08-19;4;49;Total
2016-08-20;2;45;Total
2016-08-21;1;41;Total
2016-08-22;6;39;Total
2016-08-23;5;37;Total
2016-08-24;6;34;Total
2016-08-25;10;34;Total
2016-08-26;8;38;Total
2016-08-27;2;38;Total
2016-08-28;2;39;Total
2016-08-29;3;36;Total
2016-08-30;11;42;Total
2016-08-31;3;39;Total
2016-09-01;7;36;Total
2016-09-02;4;32;Total
2016-09-03;7;37;Total
2016-09-04;3;38;Total
2016-09-05;9;44;Total
2016-09-06;11;44;Total
2016-09-07;9;50;Total
2016-09-08;8;51;Total
2016-09-09;3;50;Total
2016-09-10;5;48;Total
2016-09-11;1;46;Total
2016-09-12;8;45;Total
2016-09-13;7;41;Total
2016-09-14;5;37;Total
2016-09-15;7;36;Total
2016-09-16;5;38;Total
2016-09-17;3;36;Total
2016-09-18;1;36;Total
2016-09-19;16;44;Total
2016-09-20;17;54;Total
2016-09-21;14;63;Total
2016-09-22;23;79;Total
2016-09-23;10;84;Total
2016-09-24;10;91;Total
2016-09-25;6;96;Total
2016-09-26;31;111;Total
2016-09-27;25;119;Total
2016-09-28;32;137;Total
2016-09-29;20;134;Total
2016-09-30;14;138;Total
2016-10-01;7;135;Total
2016-10-02;12;141;Total
2016-10-03;44;154;Total
2016-10-04;30;159;Total
2016-10-05;24;151;Total
2016-10-06;29;160;Total
2016-10-07;28;174;Total
2016-10-08;16;183;Total
2016-10-09;7;178;Total
2016-10-10;53;187;Total
2016-10-11;31;188;Total
2016-10-12;17;181;Total
2016-10-13;75;227;Total
2016-10-14;33;232;Total
2016-10-15;13;229;Total
2016-10-16;17;239;Total
2016-10-17;76;262;Total
2016-10-18;50;281;Total
2016-10-19;40;304;Total
2016-10-20;54;283;Total
2016-10-21;48;298;Total
2016-10-22;13;298;Total
2016-10-23;25;306;Total
2016-10-24;82;312;Total
2016-10-25;72;334;Total
2016-10-26;48;342;Total
2016-10-27;44;332;Total
2016-10-28;40;324;Total
2016-10-29;16;327;Total
2016-10-30;22;324;Total
2016-10-31;58;300;Total
2016-11-01;22;250;Total
2016-11-02;91;293;Total
2016-11-03;80;329;Total
2016-11-04;60;349;Total
2016-11-05;32;365;Total
2016-11-06;25;368;Total
2016-11-07;111;421;Total
2016-11-08;92;491;Total
2016-11-09;125;525;Total
2016-11-10;90;535;Total
2016-11-11;91;566;Total
2016-11-12;35;569;Total
2016-11-13;24;568;Total
2016-11-14;142;599;Total
2016-11-15;93;600;Total
2016-11-16;111;586;Total
2016-11-17;104;600;Total
2016-11-18;76;585;Total
2016-11-19;29;579;Total
2016-11-20;33;588;Total
2016-11-21;179;625;Total
2016-11-22;135;667;Total
2016-11-23;140;696;Total
2016-11-24;122;714;Total
2016-11-25;118;756;Total
2016-11-26;40;767;Total
2016-11-27;44;778;Total
2016-11-28;195;794;Total
2016-11-29;190;849;Total
2016-11-30;167;876;Total
2016-12-01;196;950;Total
2016-12-02;175;1007;Total
2016-12-03;63;1030;Total
2016-12-04;48;1034;Total
2016-12-05;302;1141;Total
2016-12-06;98;1049;Total
2016-12-07;321;1203;Total
2016-12-08;91;1098;Total
2016-12-09;288;1211;Total
2016-12-10;118;1266;Total
2016-12-11;105;1323;Total
2016-12-12;590;1611;Total
2016-12-13;465;1978;Total
2016-12-14;454;2111;Total
2016-12-15;485;2505;Total
2016-12-16;371;2588;Total
2016-12-17;176;2646;Total
2016-12-18;180;2721;Total
2016-12-19;928;3059;Total
2016-12-20;807;3401;Total
2016-12-21;743;3690;Total
2016-12-22;803;4008;Total
2016-12-23;813;4450;Total
2016-12-24;318;4592;Total
2016-12-25;258;4670;Total
2016-12-26;431;4173;Total
2016-12-27;2201;5567;Total
2016-12-28;1958;6782;Total
2016-12-29;1886;7865;Total
2016-12-30;1776;8828;Total
2016-12-31;609;9119;Total
2017-01-01;449;9310;Total
2017-01-02;3003;11882;Total
2017-01-03;2203;11884;Total
2017-01-04;2106;12032;Total
2017-01-05;1607;11753;Total
2017-01-06;422;10399;Total
2017-01-07;865;10655;Total
2017-01-08;511;10717;Total
2017-01-09;3570;11284;Total
2017-01-10;2504;11585;Total
2017-01-11;2380;11859;Total
2017-01-12;2059;12311;Total
2017-01-13;1844;13733;Total
2017-01-14;628;13496;Total
2017-01-15;441;13426;Total
2017-01-16;3155;13011;Total
2017-01-17;2132;12639;Total
2017-01-18;2052;12311;Total
2017-01-19;1801;12053;Total
2017-01-20;1561;11770;Total
2017-01-21;517;11659;Total
2017-01-22;340;11558;Total
2017-01-23;2736;11139;Total
2017-01-24;1961;10968;Total
2017-01-25;1651;10567;Total
2017-01-26;1342;10108;Total
2017-01-27;1194;9741;Total
2017-01-28;349;9573;Total
2017-01-29;212;9445;Total
2017-01-30;1687;8396;Total
2017-01-31;1225;7660;Total
2017-02-01;1038;7047;Total
2017-02-02;854;6559;Total
2017-02-03;710;6075;Total
2017-02-04;190;5916;Total
2017-02-05;134;5838;Total
2017-02-06;986;5137;Total
2017-02-07;664;4576;Total
2017-02-08;522;4060;Total
2017-02-09;451;3657;Total
2017-02-10;399;3346;Total
2017-02-11;129;3285;Total
2017-02-12;99;3250;Total
2017-02-13;565;2829;Total
2017-02-14;316;2481;Total
2017-02-15;352;2311;Total
2017-02-16;274;2134;Total
2017-02-17;211;1946;Total
2017-02-18;64;1881;Total
2017-02-19;57;1839;Total
2017-02-20;303;1577;Total
2017-02-21;201;1462;Total
2017-02-22;186;1296;Total
2017-02-23;161;1183;Total
2017-02-24;113;1085;Total
2017-02-25;52;1073;Total
2017-02-26;27;1043;Total
2017-02-27;155;895;Total
2017-02-28;130;824;Total
